user_id,sent_tx_count,sent_tx_sum_gbp,sent_tx_median_gbp,received_tx_count,received_tx_sum_gbp,received_tx_median_gbp
1000,1710,28698.51,4.5,193,9021.6,6.0
10000,917,20152.39,11.0,197,1208.0,6.0
100000,1676,22087.82,4.5,243,1367.45,5.5
100002,1397,21348.56,4.5,164,1045.4,5.5
100019,938,30432.8,9.0,219,14199.95,6.0
100021,0,0.0,0.0,140,874.85,5.5
100023,0,0.0,0.0,166,10566.5,6.0
100027,0,0.0,0.0,109,740.27,6.0
10004,1749,18261.47,4.5,113,607.2,5.0
100053,1393,30137.71,6.0,259,10341.17,6.0
100056,0,0.0,0.0,138,849.16,5.5
100060,1167,18504.6,9.0,210,1232.37,5.5
100064,0,0.0,0.0,136,837.75,5.5
100065,0,0.0,0.0,88,519.0,5.5
100083,0,0.0,0.0,393,2530.32,6.0
100086,1288,21720.55,9.0,157,913.65,5.5
100094,610,22875.31,11.0,84,515.5,5.5
100098,1518,32997.659999999996,2.65,122,689.7,5.5
100105,1264,34632.68,9.0,158,3581.35,5.75
100115,1566,21800.11,6.0,221,1362.85,6.0
100120,1154,18831.36,9.0,145,962.24,6.0
100126,1599,23101.18,6.0,175,1063.8,5.5
10013,0,0.0,0.0,201,1302.6,5.5
100137,961,30313.12,10.0,121,705.0,5.5
100138,0,0.0,0.0,233,1360.15,5.5
100140,0,0.0,0.0,162,991.65,6.0
100142,0,0.0,0.0,163,966.55,6.0
100144,1151,18533.62,6.5,182,1115.91,5.5
100153,0,0.0,0.0,182,1150.0,5.5
100155,1530,15258.49,2.55,133,962.55,6.0
100159,1715,20874.53,5.0,171,954.1,5.5
100163,0,0.0,0.0,67,3988.05,6.0
100165,0,0.0,0.0,159,1060.43,6.0
100166,888,27839.86,6.0,258,18775.15,6.0
100169,916,10732.44,7.0,170,1206.01,5.75
100171,1352,32871.5,6.0,182,1154.7,6.0
100175,0,0.0,0.0,345,298984.5,990.0
100186,0,0.0,0.0,157,1348.66,6.0
100197,1216,18775.5,9.0,351,2138.7,5.5
100198,1400,19451.97,5.0,60,354.05,5.5
1002,1043,15622.97,8.99,203,1434.68,5.5
10021,1161,13115.64,8.22,123,722.65,5.5
100214,1232,19989.73,9.0,247,1512.51,5.5
100217,0,0.0,0.0,193,1164.05,5.5
100219,0,0.0,0.0,110,614.3,5.5
100223,1295,35330.06,9.0,242,19062.579999999998,6.25
100224,1781,16515.7,4.5,230,1367.25,6.0
100228,0,0.0,0.0,114,693.5,5.5
100233,1601,19895.6,3.7,210,1448.13,6.0
100250,1051,35995.090000000004,6.5,153,7924.5,6.0
100261,0,0.0,0.0,273,1641.3,6.0
100264,750,27787.33,10.5,173,16206.679999999998,6.0
100273,1151,29404.62,6.5,115,703.7,5.5
100274,0,0.0,0.0,157,922.6,5.5
100275,0,0.0,0.0,195,1166.5,6.0
100280,0,0.0,0.0,151,996.28,5.5
100282,1495,20893.66,6.5,182,1065.14,5.5
100295,0,0.0,0.0,137,822.95,6.0
100297,0,0.0,0.0,288,1708.2,5.5
10030,0,0.0,0.0,153,1049.75,6.0
100300,1091,14236.99,6.5,120,719.85,5.75
